,mewtwo,zapdos,articuno,moltres,blastoise,exeggutor,gyarados,charizard,dragonite,lapras,rhydon,venusaur,arcanine,vaporeon,ninetales_alolan,chansey,kangaskhan,tauros,clefable,rapidash,wigglytuff,pinsir,aerodactyl,vileplume,slowbro,machamp,alakazam,golem,gengar,jolteon,flareon,tentacruel,magneton,marowak_alolan,parasect,golbat,persian_alolan,hitmonlee,sandslash_alolan,magmar,electabuzz,hitmonchan,tangela,raichu,jynx,scyther,porygon,fearow,gloom,machoke,haunter,graveler,kadabra,charmeleon,wartortle,tentacool,ponyta,beedrill,ivysaur,rhyhorn,dragonair,butterfree,slowpoke,growlithe,onix,raticate_alolan,clefairy,exeggcute,oddish,vulpix_alolan,cubone,eevee,magnemite,paras,bulbasaur,charmander,squirtle,diglett,pikachu,sandshrew_alolan,jigglypuff,spearow,zubat,rattata_alolan,metapod,meowth_alolan,kakuna,dratini,caterpie,weedle,magikarp
mewtwo,100,1193.8,411.8,410.8,1109.8,159.3,1425.1,251.3,805.5,289.8,402.3,744.7,433.8,1691.7,166.3,5419.4,766.5,800.4,189.2,105.9,969.3,628.3,581.2,413.5,329.4,935.2,694.9,1336.6,373.8,687.3,220.2,574,926.3,361.7,1126.8,1151.8,325.6,610.9,607.4,392.6,926.1,732.2,563.1,88.1,445.2,734.1,697.4,599.8,669.1,2006.9,608.5,1076.1,200.9,624.6,1479.2,1369.3,576.1,904.2,1284.3,445.8,658.9,570.7,510,980.5,551.3,593.5,2242.5,812.8,948.3,2458,1776.2,1462.3,679.5,1503.6,2112.6,2978.3,3759.5,924.8,2660.3,673.9,4112.9,2544.9,6630,961.8,4917.4,1677.7,12413.5,1333.2,5752.2,13898.8,169411.8
zapdos,8.3,100,54.7,92.4,568,133.6,430,319.4,320.4,96.9,28.9,753.8,94.2,742.9,82,1799.9,204.5,424.8,100.3,102.3,1107.6,1702.7,417.8,418.8,87.1,341.8,412.7,31.7,267.1,114.4,157.3,208.3,128.2,116.4,2908.1,309.7,483,406.4,123,280.6,107.1,390,911.8,8.9,165.3,2139.3,796.9,762.6,678.6,536.3,224,90.3,94,447,1178.6,479.4,412.2,401.1,1305,207.5,700.7,225.9,259.8,703.4,88,598.5,1008.9,375.2,962.1,1113.8,576.4,371,486.9,3902.3,2148.8,2155,3019,554.3,1201.9,856.6,4726.2,665,1102.6,1724.2,13425.5,3007.2,8837.4,1422.2,16046.9,1469.9,85722.4
articuno,24.2,182.6,100,71.2,504.1,191.6,542.2,212.3,607.6,68.8,757.5,1080.3,49.1,223.1,98.5,2472.3,214.3,638.8,150.9,57.3,1406.1,1451.7,1348,600.5,59.2,157.9,327.9,2504.8,339.3,88,31.8,82.8,69.6,76,2139.6,484.2,613.3,217,122.1,66,135.7,208.3,1306.8,25.7,100.4,2712.7,396.3,448.2,500.4,286.4,146.3,169.1,61.4,206.6,705.7,342,204.7,342.6,961.6,451.4,308.4,147.6,181.9,349.3,501.4,759.9,1280.7,1546.6,708.1,883.5,834.2,471.3,386.9,2839.4,1577.3,1708.3,2148.7,1716.1,785.6,383.2,3070.6,1915,3170.6,1119.8,5824.4,1951.3,3831,624.8,6842,4198.9,95294.1
moltres,24.3,108.1,140.3,100,744.9,98.8,598.8,224.7,311.4,129.1,49.3,1239.1,170.4,381.8,338.8,3091.5,646.7,833.1,314.7,172.3,1612.7,1200.1,556.8,309.8,76.6,460,601,54.1,388.9,77.2,314.8,290.2,360.8,169.5,2147.4,346.9,703.3,546.9,831.5,561.3,119.1,524.9,674.5,25.8,277.1,1401.9,454.2,624.5,501.5,721.7,285.1,141.3,94.1,893.9,830.2,337.2,824.4,424.3,964.6,309.3,943.2,267.6,228.3,1406.4,224.6,871.5,661.1,1551.2,709.9,1163.1,425.5,686.6,510.1,2861.9,1581.1,882.6,3396.3,677.8,787.8,1288.3,3087.4,1208.2,1995.5,1125.4,9250.9,1955.8,6056.1,626.5,10896.7,6708.7,99661.8
blastoise,9,17.5,19.8,13.4,100,14.3,44,16.4,24.9,26,11.2,14.8,19.3,82.5,11.2,391.2,23.7,69.5,12.8,12.8,30.6,45.3,47.3,17.5,24.3,15.2,22.6,16.4,21.9,10.5,20,20.6,11.7,30.9,62.2,36.1,31,7.1,38,36.6,23,16,12.2,6,58.2,40.4,26.6,43.5,28.3,21.3,51.9,31.1,22.8,57.2,166.9,101,58.7,32.2,17.5,40.1,53.2,17.6,68.5,107,34,20.8,45.5,49.3,40.2,112.5,64.8,56.2,40.3,98.4,35.4,327.3,413.6,67.2,37.6,91.8,193.7,134.2,173.3,64.7,868.8,158.4,625.3,108.7,1032.3,990.8,1769.2
exeggutor,62.7,74.8,52.1,101.1,696.9,100,700.7,122.9,310,187,403.9,757.6,339.3,1696.7,157.3,2287.4,602.2,757.6,179,62.9,617,491.5,550,420.7,278.6,595.6,436.3,1340.6,237.7,1038.9,107.7,228.5,727.4,176.9,717.9,459.1,270.9,388.7,85.3,156.2,941.9,466.3,572.8,103,174.8,574.3,708.8,238.7,681,1277.8,387.1,1094.4,127.8,248.8,1504.3,1389.3,229.4,360.6,1307.9,453.5,419.7,363.4,830.5,391.3,351.1,536.8,1432.1,1228.2,963.4,1576.2,1134.6,931.1,691.4,957.9,2142.5,1900.4,2399.6,937.9,2691.7,638.5,2620.7,1638.7,4248,613.4,3142.3,1070.9,5248.8,849,3754.9,5691.1,131576.5
gyarados,7,23.2,18.4,16.6,227,14.2,100,21.4,71.9,28.7,13,53.2,24.1,157.1,9,430.9,71.7,214.5,10.2,27,98.9,148.6,404.6,61.5,18.9,109.7,20,13.4,17,13,26.1,48.6,9.1,24.1,271.4,110.8,127.4,28,62.3,179,30.4,118.7,60.1,7.4,30.7,226.7,29.6,159.9,103,168.5,40.4,28.1,17.7,285.2,548.5,242.7,256.3,123.4,86,272.7,122.3,33.4,53.3,358.6,91.5,133.7,178.6,88.7,146.1,224.1,519.1,174.1,128.1,521,141.8,407.3,938.1,188.1,66.6,469.9,714.3,139.8,276.6,124.1,1720.4,568.2,1126.6,461.6,2041.9,1232.4,89223.5
charizard,39.7,31.2,47,44.4,607.3,81.3,466.7,100,263.6,43.2,46.4,116.5,153.3,333.8,304,1970,525.5,677.1,255.7,62.9,1310.8,1020.4,490.9,263.1,34,225.7,488.3,50.9,50.3,24.1,61.3,236.5,27,150.1,1824.5,325.6,268.9,243.2,266.4,222.9,37.1,233.4,572.9,13.7,423.1,1192,443.9,238.8,426.1,800.2,242.1,146.7,79.9,397.7,369.5,150,366.6,360.5,819.3,272.9,419.6,227.3,109.3,625,182.4,270.2,561.7,1320,603,619.4,388.9,206.5,169.5,2432.2,1343.2,1195.8,1510.9,575.8,419,1748.4,2622.8,1026.3,1695.6,956,7871.5,1667.9,5152.2,849.5,9275.9,5704.6,106252.9
dragonite,12.4,31.2,16.4,32.1,401.1,32.2,138.9,37.9,100,42.6,23,116,42.7,293.3,9.9,829.5,112,360.5,11.3,49.1,76.3,207.7,418.2,186,34.2,128.7,35.5,23.7,30.2,37,46.2,88.8,25.9,42.6,490.3,156.4,141.3,49.5,63.2,185,57,167.6,175.9,24.1,31.3,318.9,52.4,225.7,301.5,237.9,89.2,49.9,31.4,156.4,1067.4,230.2,136.4,174.2,251.9,281.9,252,59.2,96.2,375.5,94.5,188.7,67.6,94.4,226.8,372.2,284.7,175.5,68.6,919.7,188.2,719.7,909.3,553,642.2,303.8,388.6,617,363,574.9,3018.4,1003.2,1985.4,511,3580.8,2166.4,92823.5
lapras,34.5,103.1,145.1,77.4,383.3,53.4,348,231.3,234.4,100,222,83,96.3,286.2,95.7,974.8,139.3,401.2,69,95.5,934.3,528.6,986.4,96.5,60.6,94.3,150,737.6,248.2,63.2,183.1,87.4,56.6,300.8,1162.5,581.3,448.7,99.3,183.2,326.6,90.1,86.5,217.5,16.3,253.9,944.7,463.3,483.7,169.2,327.1,404.4,1144.6,133.5,520.1,985,351.8,479.7,376.4,325.9,473.7,426.2,288.1,133.9,818.4,366.8,468.4,937.2,525.7,175.9,896.2,743.8,974,392.3,1141.3,393.3,2506.1,1574,439.9,498.5,620.9,1955.3,1222,2018.8,712.7,2352.1,1243.9,2455.2,633.7,2798.1,2679.5,183805.1
