,mewtwo,zapdos,articuno,moltres,blastoise,exeggutor,gyarados,charizard,dragonite,lapras,rhydon,venusaur,arcanine,vaporeon,ninetales_alolan,chansey,kangaskhan,tauros,clefable,rapidash,wigglytuff,pinsir,aerodactyl,vileplume,slowbro,machamp,alakazam,golem,gengar,jolteon,flareon,tentacruel,magneton,marowak_alolan,parasect,golbat,persian_alolan,hitmonlee,sandslash_alolan,magmar,electabuzz,hitmonchan,tangela,raichu,jynx,scyther,porygon,fearow,gloom,machoke,haunter,graveler,kadabra,charmeleon,wartortle,tentacool,ponyta,beedrill,ivysaur,rhyhorn,dragonair,butterfree,slowpoke,growlithe,onix,raticate_alolan,clefairy,exeggcute,oddish,vulpix_alolan,cubone,eevee,magnemite,paras,bulbasaur,charmander,squirtle,diglett,pikachu,sandshrew_alolan,jigglypuff,spearow,zubat,rattata_alolan,metapod,meowth_alolan,kakuna,dratini,caterpie,weedle,magikarp
mewtwo,100.0,161.4,180.7,144.1,106.69999999999999,160.8,222.7,141.4,349.2,263.2,129.4,262.40000000000003,144.79999999999998,561.2,106.89999999999999,1701.7,224.2,290.2,255.39999999999998,274.5,233.2,271.9,186.3,291.1,137.6,675.1,120.5,117.6,126.29999999999998,178.9,123.9,174.2,125.29999999999998,152.8,283.0,812.4000000000001,152.4,310.0,161.7,281.3,285.3,1646.0,176.4,168.5,165.7,184.0,157.4,380.2,471.90000000000003,1134.7,514.4,364.9,106.0,448.20000000000005,418.70000000000005,2165.2000000000003,619.5,496.5,404.2,1033.1,247.9,134.20000000000002,410.1,431.29999999999995,331.59999999999997,84.39999999999999,606.5,407.4,669.1,521.1,944.6999999999999,689.4,219.49999999999997,744.5,666.2,649.8000000000001,616.0999999999999,1048.8,507.2,136.0,2135.6000000000004,1123.1,3232.3,243.2,5783.2,317.7,9657.800000000001,1131.6000000000001,6896.8,10609.6,8393.1
zapdos,61.9,100.0,69.89999999999999,142.79999999999998,129.5,407.30000000000007,261.8,87.6,216.2,162.9,31.3,162.5,89.7,347.40000000000003,41.4,659.5,138.79999999999998,521.0,252.99999999999997,265.6,144.4,269.4,45.1,180.20000000000002,136.3,418.0,74.7,28.4,78.2,69.3,76.7,67.4,77.60000000000001,151.4,716.5,314.59999999999997,235.70000000000002,191.9,62.6,174.3,110.4,1019.0,279.5,65.2,102.60000000000001,466.09999999999997,97.39999999999999,367.5,292.09999999999997,702.5,318.29999999999995,88.3,168.0,277.5,162.1,837.7,383.59999999999997,785.7,400.2,400.4,153.5,340.0,406.20000000000005,267.0,80.30000000000001,208.9,375.5,403.9,414.20000000000005,201.7,912.1,426.79999999999995,217.3,1178.6,659.5,402.29999999999995,381.4,1013.3,196.3,52.6,1322.1,1111.4,1250.6,601.8,5727.6,786.0,5978.2,700.5,6830.800000000001,6567.6,5194.8
articuno,55.300000000000004,142.9,100.0,79.80000000000001,139.0,364.1,334.0,48.9,309.0,91.0,71.6,145.2,31.3,414.70000000000005,37.0,589.4,124.10000000000001,193.0,88.4,237.2,129.1,184.60000000000002,201.7,161.1,76.2,146.0,66.7,65.0,69.89999999999999,61.9,26.8,37.7,43.3,84.5,639.9,449.2,210.70000000000002,67.0,89.5,60.8,98.7,356.8,249.7,58.3,91.7,797.2,87.1,839.0,261.0,245.5,284.3,201.9,150.1,96.89999999999999,394.7,468.70000000000005,214.4,439.29999999999995,357.5,913.5999999999999,219.4,303.7,227.0,93.30000000000001,183.5,186.7,335.70000000000005,360.8,370.0,180.29999999999998,2075.1,381.2,76.0,1052.3999999999999,589.0,274.40000000000003,413.99999999999994,2310.5,175.4,75.2,1180.8,993.6999999999999,1786.4,537.5,3188.8,701.9,3328.4999999999995,1000.9000000000001,3805.1000000000004,3659.7999999999997,2887.1
moltres,69.3,70.0,125.29999999999998,100.0,46.300000000000004,456.1,186.9,156.9,242.1,114.1,35.0,182.0,160.7,243.29999999999998,74.2,738.6,155.5,583.6,283.40000000000003,297.2,161.7,301.7,50.5,201.9,95.5,468.1,83.6,31.8,87.6,48.5,137.5,47.199999999999996,54.300000000000004,169.5,802.6,352.09999999999997,422.0,215.0,112.1,311.90000000000003,77.3,1141.3999999999999,313.0,45.7,183.8,522.0,109.1,411.59999999999997,327.2,786.8000000000001,356.5,98.9,188.1,496.8,290.3,587.6,429.6,880.1,448.20000000000005,448.4,171.9,380.79999999999995,284.5,478.2,89.9,233.8,672.2,452.29999999999995,463.90000000000003,361.3,1021.5999999999999,478.09999999999997,243.4,1320.1000000000001,738.6,720.2,267.2,1135.0,137.4,94.3,2366.3,778.8000000000001,1400.8,674.0,6416.400000000001,880.4,6697.0,784.6,7651.900000000001,7356.900000000001,5820.3
blastoise,93.60000000000001,77.10000000000001,71.8,215.89999999999998,99.9,49.5,93.8,338.9,77.2,67.7,193.79999999999998,49.6,347.0,148.2,81.10000000000001,142.70000000000002,107.2,434.40000000000003,99.4,411.2,218.4,159.20000000000002,279.09999999999997,55.00000000000001,59.699999999999996,247.10000000000002,112.9,176.1,118.30000000000001,104.69999999999999,297.0,52.7,117.30000000000001,366.0,256.70000000000005,475.3,356.4,113.39999999999999,102.89999999999999,673.8000000000001,167.0,603.0,64.5,98.6,396.8,275.5,147.3,355.90000000000003,89.2,415.29999999999995,481.4,546.6,254.1,1073.1,364.9,1262.0,927.9999999999999,464.59999999999997,47.699999999999996,1547.1,75.0,200.99999999999997,613.6,1033.0,496.7,315.7,567.8,238.60000000000002,244.70000000000002,779.8,1414.8,645.4,525.8,272.5,152.4,1555.7,576.0,1570.8999999999999,297.0,325.7,1999.3,1051.5,1890.8000000000002,910.0,5407.0,1188.5,5643.7,662.0,6450.0,6202.5,4900.4
exeggutor,62.2,24.5,27.400000000000002,21.9,201.7,100.0,354.8,21.5,147.8,261.7,80.4,24.9,22.0,558.1,26.0,662.3000000000001,87.2,212.0,99.3,106.69999999999999,90.60000000000001,171.8,137.0,27.6,219.0,164.1,75.0,73.1,19.2,111.3,18.8,67.7,77.9,37.1,131.6,77.2,148.0,75.3,39.300000000000004,42.699999999999996,177.4,400.90000000000003,68.60000000000001,104.80000000000001,64.4,123.10000000000001,61.1,147.8,44.800000000000004,275.9,78.10000000000001,226.9,65.9,68.10000000000001,162.79999999999998,840.0,150.6,75.4,98.2,642.6,60.199999999999996,32.6,652.4,65.5,206.2,82.0,235.70000000000002,158.5,63.5,126.6,938.8,268.0,85.3,289.1,161.9,98.7,612.5,1042.6,315.2,33.0,830.1999999999999,170.6,307.2,236.3,1407.4,308.70000000000005,1468.9,274.90000000000003,1677.8,1612.8,5234.8
gyarados,44.800000000000004,38.1,29.9,53.5,106.5,28.1,100.0,57.8,71.89999999999999,37.1,57.99999999999999,25.0,59.099999999999994,157.1,24.5,82.1,37.1,144.6,48.8,491.6,53.400000000000006,148.6,84.5,27.700000000000003,31.0,55.00000000000001,28.499999999999996,52.7,29.799999999999997,26.400000000000002,73.5,26.5,28.999999999999996,90.7,271.4,55.300000000000004,63.0,45.800000000000004,41.3,322.8,42.199999999999996,64.60000000000001,26.8,47.3,43.9,226.7,37.2,90.10000000000001,32.300000000000004,77.3,230.6,163.7,121.7,514.2,179.29999999999998,113.9,444.59999999999997,86.5,38.4,741.3000000000001,39.5,56.8,70.1,494.9,148.8,55.800000000000004,72.39999999999999,44.6,45.800000000000004,233.70000000000002,1686.1999999999998,309.2,251.9,208.70000000000002,45.6,745.4,320.7,1875.7,142.2,97.6,957.9000000000001,503.7,906.0,436.00000000000006,2593.3,569.4,2706.7,317.2,3092.8,2973.7,2352.0
charizard,70.6,114.1,204.2,63.7,29.5,464.79999999999995,173.0,100.0,215.39999999999998,116.19999999999999,35.699999999999996,185.4,102.3,220.00000000000003,120.9,752.7,158.5,594.7,288.8,189.39999999999998,164.79999999999998,307.4,51.4,205.7,60.8,298.4,85.2,32.5,89.2,79.0,87.6,30.099999999999998,141.70000000000002,108.0,817.9,358.8,430.1,136.9,292.3,198.8,126.0,727.1,319.0,74.4,299.7,532.0,111.20000000000002,419.5,333.40000000000003,501.1,363.3,100.8,191.70000000000002,316.8,342.5,374.3,273.6,896.9,456.79999999999995,457.0,109.5,388.09999999999997,181.29999999999998,304.59999999999997,91.7,238.3,685.1,461.00000000000006,472.79999999999995,589.1,1041.3,487.2,635.0,1345.4,752.7,458.7,170.2,1156.7,224.10000000000002,245.9,2411.6,793.6,1427.6999999999998,686.9,6541.7,897.1999999999999,6827.7,499.8,7800.6,7499.5,3709.7000000000003
dragonite,28.599999999999998,46.2,32.300000000000004,41.199999999999996,129.4,67.60000000000001,138.9,46.400000000000006,100.0,58.9,42.9,46.9,47.5,293.29999999999995,14.2,110.1,40.1,167.6,20.9,84.89999999999999,26.700000000000003,185.8,68.5,52.1,57.9,69.39999999999999,34.5,38.9,36.1,51.2,56.699999999999996,35.699999999999996,35.9,50.1,408.3,71.1,68.10000000000001,55.50000000000001,28.9,74.0,58.5,127.69999999999999,57.8,48.199999999999996,47.4,296.7,45.0,194.70000000000002,84.39999999999999,116.7,272.40000000000003,46.800000000000004,143.79999999999998,379.5,162.5,1143.0,328.2,227.2,82.8,170.1,131.4,98.3,300.4,365.3,42.5,69.1,31.1,216.0,221.5,172.6,675.0,365.2,116.3,630.3,352.7,550.1999999999999,521.6,1384.3999999999999,268.7,45.0,87.9,595.0,1070.1000000000001,514.9,3061.2,672.6,3195.1,959.0999999999999,3651.2999999999997,3510.9,4440.2
lapras,38.0,61.3,109.80000000000001,87.6,147.6,38.2,269.3,86.0,169.6,100.0,49.1,38.9,88.0,455.3,65.0,404.7,85.2,293.0,97.0,166.9,88.6,79.3,138.5,43.2,83.6,62.7,45.800000000000004,44.7,48.0,42.5,75.3,41.4,47.599999999999994,148.6,296.0,193.0,144.70000000000002,28.799999999999997,157.20000000000002,171.0,67.80000000000001,153.2,26.200000000000003,40.0,161.1,214.0,59.8,144.5,70.0,105.4,195.3,138.6,103.0,272.3,433.4,514.5,376.5,188.6,37.5,627.8,58.9,81.5,249.40000000000003,262.1,126.1,128.2,230.50000000000003,96.8,99.3,316.40000000000003,574.0999999999999,262.1,133.4,213.79999999999998,61.8,394.8,447.1,637.3000000000001,120.39999999999999,132.20000000000002,811.1,426.6,767.3,369.20000000000005,2197.2999999999997,482.2,2293.4,268.9,2620.2000000000003,2519.1,1993.7
